,q0001,q0002,q0004_0001,q0004_0002,q0004_0003,q0004_0004,q0004_0005,q0004_0006,q0005,q0007_0001,q0007_0002,q0007_0003,q0007_0004,q0007_0005,q0007_0006,q0007_0007,q0007_0008,q0007_0009,q0007_0010,q0007_0011,q0008_0001,q0008_0002,q0008_0003,q0008_0004,q0008_0005,q0008_0006,q0008_0007,q0008_0008,q0008_0009,q0008_0010,q0008_0011,q0008_0012,q0009,q0010_0001,q0010_0002,q0010_0003,q0010_0004,q0010_0005,q0010_0006,q0010_0007,q0010_0008,q0011_0001,q0011_0002,q0011_0003,q0011_0004,q0011_0005,q0012_0001,q0012_0002,q0012_0003,q0012_0004,q0012_0005,q0012_0006,q0012_0007,q0013,q0014,q0015,q0017,q0018,q0019_0001,q0019_0002,q0019_0003,q0019_0004,q0019_0005,q0019_0006,q0019_0007,q0020_0001,q0020_0002,q0020_0003,q0020_0004,q0020_0005,q0020_0006,q0021_0001,q0021_0002,q0021_0003,q0021_0004,q0022,q0024,q0025_0001,q0025_0002,q0025_0003,q0026,q0028,q0029,q0030,q0034,q0035,q0036,race2,racethn4,education,age3,kids,orientation,weight
133,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, but open to it",Sometimes,"Never, and not open to it",Often,Sometimes,Rarely,Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Sexual performance or amount of sex,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Not employed, looking for work",,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",You try to pay to see if the other person will offer to share in the cost,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Never married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Massachusetts,"$200,000+",New England,iOS Phone / Tablet,White,White,Post graduate degree,35 - 64,No children,Straight,0.069709778
134,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,No,Often,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Only a little,No,Yes,Often,It?s the right thing to do,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,New York,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop,White,White,College or more,35 - 64,Has children,Straight,0.67857412
135,Very masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Not selected,Yes,Often,Often,Often,Rarely,Rarely,Often,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it","Never, but open to it",Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,Yes,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,California,"$25,000-$49,999",Pacific,Windows Desktop / Laptop,White,White,College or more,18 - 34,Has children,Straight,1.6795885259999999
136,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No,Rarely,Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Rarely,Rarely,Often,Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Kentucky,"$50,000-$74,999",East South Central,Windows Desktop / Laptop,White,White,College or more,35 - 64,No children,Straight,0.646701035
137,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Not selected,Yes,Often,Often,Often,Sometimes,"Never, and not open to it","Never, and not open to it",Often,Rarely,Often,Rarely,Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Men are taken more seriously,Men have more choice,Not selected,Not selected,Not selected,Not selected,Not selected,Managers want to hire and promote women,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,Wisconsin,"$25,000-$49,999",East North Central,iOS Phone / Tablet,Non-white,Hispanic,College or more,18 - 34,No children,Gay/Bisexual,4.213356822
138,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,Yes,Often,Sometimes,Often,Sometimes,Rarely,"Never, and not open to it",Often,Rarely,Often,"Never, but open to it",Rarely,Your height,Your weight,Not selected,Your physique,Appearance of your genitalia,Your clothing or style,Sexual performance or amount of sex,Your mental health,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Men have more promotion/professional development opportunities,Not selected,Not selected,Not selected,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,Yes,Yes,Often,Not selected,Not selected,You feel good about being the one who pays,Not selected,Not selected,Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Talked with a friend or friends about whether you pushed a partner too far.,Not selected,Not selected,No,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,California,"$50,000-$74,999",Pacific,MacOS Desktop / Laptop,Non-white,Hispanic,College or more,18 - 34,No children,Gay/Bisexual,4.320422125
139,Somewhat masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,Yes,Rarely,Rarely,Often,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Oregon,"$50,000-$74,999",Pacific,iOS Phone / Tablet,White,White,Post graduate degree,65 and up,Has children,Straight,0.056642551
140,Very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Other (please specify),Yes,Sometimes,Often,Often,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,Often,Often,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,You make more money than your date,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Washington,Prefer not to answer,Pacific,MacOS Desktop / Laptop,White,White,Post graduate degree,65 and up,No children,Straight,0.019744451
141,Somewhat masculine,Very important,Father or father figure(s),Not selected,Other family members,Pop culture,Not selected,Not selected,No,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,"Never, and not open to it",Often,Often,Rarely,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Not selected,Not selected,Not selected,Not selected,Men generally have more support from their managers,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,No,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Washington,"$200,000+",Pacific,Windows Desktop / Laptop,White,White,College or more,35 - 64,Has children,Straight,0.397412793
142,Very masculine,Very important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,No,Often,Often,Sometimes,Rarely,Rarely,Rarely,"Never, and not open to it",Often,Rarely,Rarely,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Pennsylvania,"$175,000-$199,999",Middle Atlantic,iOS Phone / Tablet,White,White,College or more,65 and up,Has children,Straight,0.45288311299999995
143,Somewhat masculine,Very important,Not selected,Not selected,Not selected,Not selected,Friends,Other (please specify),Yes,Sometimes,Sometimes,"Never, and not open to it","Never, but open to it","Never, and not open to it","Never, but open to it","Never, and not open to it",Rarely,Sometimes,Often,Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Your clothing or style,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Make a physical move to see how they react,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Divorced,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Indiana,"$10,000-$24,999",East North Central,Windows Desktop / Laptop,White,White,Some college,65 and up,Has children,Straight,0.6006400789999999
144,Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Not selected,Yes,Often,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Often,Often,"Never, but open to it",Sometimes,Your height,Your weight,Not selected,Your physique,Appearance of your genitalia,Your clothing or style,Sexual performance or amount of sex,Your mental health,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,Yes,Often,It?s the right thing to do,You make more money than your date,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,College graduate,North Carolina,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop,White,White,College or more,18 - 34,No children,Straight,1.5809621969999998
145,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Friends,Not selected,Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,Rarely,"Never, but open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),,A lot,No,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,Texas,"$150,000-$174,999",West South Central,iOS Phone / Tablet,White,White,College or more,35 - 64,No children,Straight,0.515567485
146,Very masculine,Not too important,Father or father figure(s),Not selected,Other family members,Not selected,Friends,Other (please specify),Yes,Rarely,Rarely,Sometimes,Often,"Never, and not open to it","Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Gay,White,Associate's degree,California,Prefer not to answer,Pacific,Windows Desktop / Laptop,White,White,Some college,65 and up,Has children,Gay/Bisexual,0.615179712
147,Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Often,Often,Sometimes,Sometimes,"Never, and not open to it",Sometimes,"Never, and not open to it","Never, but open to it","Never, but open to it",Often,Rarely,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,No,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Not selected,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Divorced,"Yes, one or more children under 18","Yes, one or more children 18 or older",Not selected,Straight,White,Associate's degree,Michigan,"$0-$9,999",East North Central,iOS Phone / Tablet,White,White,Some college,35 - 64,Has children,Straight,0.62074615
148,Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Friends,Not selected,Yes,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,"Never, and not open to it",Often,Sometimes,"Never, but open to it","Never, but open to it",Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Often,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,College graduate,New Hampshire,"$75,000-$99,999",New England,Windows Desktop / Laptop,White,White,College or more,35 - 64,No children,Straight,0.644454454
149,Somewhat masculine,Not too important,Not selected,Not selected,Not selected,Not selected,Friends,Not selected,No,Rarely,Sometimes,Rarely,Often,"Never, and not open to it",Sometimes,"Never, but open to it",Often,Sometimes,"Never, but open to it",Often,Not selected,Not selected,Not selected,Your physique,Not selected,Your clothing or style,Not selected,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Wisconsin,"$75,000-$99,999",East North Central,Windows Desktop / Laptop,White,White,College or more,65 and up,Has children,Straight,0.484712546
150,Very masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Pop culture,Friends,Other (please specify),No,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Sometimes,"Never, and not open to it",Often,Often,"Never, but open to it",Sometimes,Not selected,Your weight,Your hair or hairline,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,No,Yes,Often,It?s the right thing to do,You make more money than your date,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,College graduate,Alabama,"$200,000+",East South Central,Windows Desktop / Laptop,White,White,College or more,35 - 64,No children,Straight,0.6275903979999999
151,Very masculine,Very important,Father or father figure(s),Not selected,Other family members,Not selected,Friends,Not selected,No,Sometimes,Sometimes,Often,Rarely,Rarely,Often,"Never, and not open to it","Never, and not open to it",Sometimes,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Some,No,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,College graduate,Texas,"$75,000-$99,999",East South Central,Windows Desktop / Laptop,White,White,College or more,35 - 64,Has children,Straight,0.5005398910000001
152,Not very masculine,Not too important,Not selected,Not selected,Not selected,Pop culture,Not selected,Not selected,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, and not open to it",Often,"Never, and not open to it",Often,"Never, but open to it","Never, and not open to it",Rarely,Your height,Your weight,Your hair or hairline,Your physique,Not selected,Your clothing or style,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Men make more money,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Contacted the manager of the accused person,Not selected,Not selected,Not selected,Not selected,,A lot,Yes,Yes,Always,Not selected,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Not selected,Not selected,Not selected,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,White,Post graduate degree,Pennsylvania,"$150,000-$174,999",Middle Atlantic,iOS Phone / Tablet,White,White,Post graduate degree,35 - 64,Has children,Straight,0.05810499400000001
153,Not very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Not selected,Not selected,Not selected,Not selected,Yes,Sometimes,Sometimes,Sometimes,Rarely,Rarely,"Never, and not open to it",Sometimes,Often,Rarely,"Never, but open to it",Often,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Did not respond at all,Not selected,Not selected,You weren?t sure it was sexual harassment,A lot,Yes,Yes,Often,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Never married,Not selected,Not selected,No children,Gay,White,College graduate,California,"$25,000-$49,999",Pacific,Windows Desktop / Laptop,White,White,College or more,65 and up,No children,Gay/Bisexual,0.49628314700000004
154,Somewhat masculine,Very important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Not selected,Yes,Rarely,Rarely,Sometimes,Sometimes,"Never, and not open to it","Never, and not open to it",Rarely,Rarely,"Never, and not open to it","Never, and not open to it",Sometimes,Not selected,Not selected,Not selected,Not selected,Not selected,Your clothing or style,Not selected,Your mental health,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,You make more money than your date,You feel good about being the one who pays,Not selected,Not selected,Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Wondered whether you pushed a partner too far in a past sexual encounter.,Not selected,Not selected,Not selected,No,Widowed,Not selected,Not selected,No children,Gay,White,College graduate,New Jersey,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet,White,White,College or more,65 and up,No children,Gay/Bisexual,0.663356077
155,Somewhat masculine,Somewhat important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,Yes,Sometimes,Sometimes,"Never, and not open to it","Never, but open to it",Rarely,Often,"Never, and not open to it",Sometimes,Often,Often,Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Your mental health,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Kansas,"$75,000-$99,999",West North Central,Windows Desktop / Laptop,White,White,College or more,65 and up,Has children,Straight,0.6729439340000001
156,Somewhat masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Rarely,Rarely,Sometimes,Rarely,"Never, but open to it",Rarely,"Never, and not open to it",Sometimes,Rarely,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Nothing at all,,No,Always,It?s the right thing to do,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Missouri,Prefer not to answer,West North Central,Windows Desktop / Laptop,White,White,College or more,65 and up,Has children,Straight,0.6729439340000001
157,Very masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Pop culture,Not selected,Not selected,No,Sometimes,Sometimes,Sometimes,Rarely,Rarely,Often,"Never, and not open to it",Sometimes,Often,Rarely,Rarely,Not selected,Not selected,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Some,No,No,Often,It?s the right thing to do,You make more money than your date,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,California,"$150,000-$174,999",Pacific,Windows Desktop / Laptop,White,White,College or more,35 - 64,Has children,Straight,0.512693291
